Table TEST_PAYMENT dropped.

Elapsed: 00:00:00.052


Copy to clipboard


Sequence TEST_PAYMENT_SEQ dropped.

Elapsed: 00:00:00.012


Copy to clipboard


Type PAYMENT_TY dropped.

Elapsed: 00:00:00.075


Copy to clipboard

1


Type PAYMENT_TY compiled

Elapsed: 00:00:00.019


Copy to clipboard

1


Sequence TEST_PAYMENT_SEQ created.

Elapsed: 00:00:00.010


Copy to clipboard

1


Table TEST_PAYMENT created.

Elapsed: 00:00:00.015


Copy to clipboard

Name            Null?    Type       
--------------- -------- ---------- 
TEST_PAYMENT_ID NOT NULL NUMBER     
PAYMENT         NOT NULL PAYMENT_TY 


Copy to clipboard


PL/SQL procedure successfully completed.

Elapsed: 00:00:00.050


Copy to clipboard

TEST_PAYMENT_ID       CREDIT_NUM EXPR_DATE CVV 
--------------- ---------------- --------- --- 
              1 8290830724076797 04/23     301 
              2 1892496496901567 04/23     448 
              3 3704086595638682 04/23     442 
              4 3790532954514577 04/23     776 
              5 8296225766650844 04/23     960 
              6 5662431894094813 04/23     409 
              7 3017352949696891 04/23     186 
              8 9230043647658990 04/23     591 
              9 7988420121314051 04/23     348 
             10 6269799287621424 04/23     838 
             11 7745190566043703 04/23     433 
             12 8091012164164256 04/23     837 
             13 1076834954142274 04/23     854 
             14 2064355317526610 04/23     448 
             15 2234587932603447 04/23     488 
             16 6484513838152501 04/23     944 
             17 4943992688023065 04/23     860 
             18 6452595698917210 04/23     132 
             19 9294922425520988 04/23     616 
             20 4582707730657028 04/23     801 
             21 3024754313635976 04/23     699 
             22 2505701694955641 04/23     267 
             23 1143597053549966 04/23     993 
             24 7314513285256903 04/23     896 
             25 5985414971887277 04/23     368 
             26 5735122661365822 04/23     723 
             27 3127066210449646 04/23     145 
             28 1638954805553865 04/23     835 
             29 1573691947791833 04/23     295 
             30 7979107529480990 04/23     493 
             31 8317452403789797 04/23     926 
             32 7218277792053571 04/23     323 
             33 8224950798061803 04/23     211 
             34 4426245448683029 04/23     231 
             35 7034963465474065 04/23     380 
             36 3944597903837739 04/23     101 
             37 9499347097497360 04/23     776 
             38 1063648499136892 04/23     788 
             39 4282912819636316 04/23     540 
             40 7355360818152529 04/23     605 
             41 2244208311461092 04/23     679 
             42 1736207208709760 04/23     435 
             43 5343970679237472 04/23     711 
             44 7817640355419779 04/23     551 
             45 1571465197340289 04/23     442 
             46 5263396589760913 04/23     760 
             47 5441634899465658 04/23     180 
             48 1263440322644067 04/23     124 
             49 8121620574322767 04/23     592 
             50 3987194931174574 04/23     717 
             51 3754693817134286 04/23     125 
             52 8983359929236709 04/23     547 
             53 1461983443920166 04/23     579 
             54 5132433647696248 04/23     640 
             55 5858345791184979 04/23     798 
             56 4429915604248624 04/23     281 
             57 8756329793320611 04/23     870 
             58 8300328671295222 04/23     365 
             59 6398515436373448 04/23     503 
             60 7757903090488809 04/23     878 
             61 5546730821410226 04/23     868 
             62 8924650204528667 04/23     247 
             63 4613736901026621 04/23     420 
             64 1262879546647809 04/23     761 
             65 3707448126215738 04/23     404 
             66 5067348138617702 04/23     703 
             67 5664636638515805 04/23     633 
             68 1547011995414192 04/23     270 
             69 2598249139395149 04/23     586 
             70 9771633173139056 04/23     120 
             71 5117784267412763 04/23     224 
             72 7335584895067825 04/23     931 
             73 3147017966588953 04/23     356 
             74 1273797912338058 04/23     183 
             75 5836903670183953 04/23     801 
             76 9046121107099872 04/23     366 
             77 4621589182082613 04/23     290 
             78 8655158883963755 04/23     736 
             79 4467149415576450 04/23     923 
             80 3105729741204770 04/23     416 
             81 8849614590814183 04/23     919 
             82 3447585666856566 04/23     152 
             83 4333036371095635 04/23     497 
             84 4524092014634185 04/23     135 
             85 4583955594596761 04/23     806 
             86 3863739553449723 04/23     151 
             87 6283474107141757 04/23     508 
             88 8124210986062994 04/23     768 
             89 2253367299500079 04/23     918 
             90 3316748700778832 04/23     944 
             91 2229381639614684 04/23     929 
             92 1289319067553125 04/23     732 
             93 5962688566014710 04/23     371 
             94 4406037354931512 04/23     912 
             95 5584960223273758 04/23     364 
             96 5875623325517164 04/23     144 
             97 5068422642719960 04/23     321 
             98 1725298900123238 04/23     844 
             99 6224483559331222 04/23     185 
            100 9682373923376662 04/23     672 
            101 1635687105490416 04/23     413 
            102 2356450039625320 04/23     211 
            103 3114831398689514 04/23     716 
            104 1362100183732175 04/23     586 
            105 2110293252569969 04/23     197 
            106 6819071289371483 04/23     569 
            107 8555240129632202 04/23     339 
            108 1498468878434257 04/23     480 
            109 2922288808895410 04/23     684 
            110 9654768483793040 04/23     890 
            111 7629669336281780 04/23     939 
            112 1802442662925096 04/23     864 
            113 1291180684429902 04/23     458 
            114 8967120342294612 04/23     250 
            115 5953164895258648 04/23     779 
            116 4424722349184895 04/23     288 
            117 3335985582654508 04/23     466 
            118 1571018348536286 04/23     434 
            119 6479332746910552 04/23     165 
            120 3203993789881046 04/23     706 
            121 4694414607324048 04/23     122 
            122 4828317109283391 04/23     413 
            123 6047790545376859 04/23     636 
            124 5260166887038228 04/23     698 
            125 9072841861783700 04/23     137 
            126 7368817232877794 04/23     385 
            127 1259392249853363 04/23     148 
            128 5383351798502437 04/23     192 
            129 7726575919360743 04/23     132 
            130 3628335443798692 04/23     806 
            131 4976917002602527 04/23     478 
            132 7764010886573189 04/23     444 
            133 5645106325146741 04/23     738 
            134 9040744093495334 04/23     503 
            135 4046468060043196 04/23     369 
            136 1885284975413575 04/23     661 
            137 7078731666091074 04/23     447 
            138 3058196947275357 04/23     367 
            139 5773807544102773 04/23     605 
            140 5643089688932093 04/23     935 
            141 4969105837489241 04/23     633 
            142 5362110562085986 04/23     620 
            143 8291401495741417 04/23     879 
            144 3815922194910815 04/23     106 
            145 4996769122324087 04/23     419 
            146 2412209332252362 04/23     145 
            147 5438241784202371 04/23     995 
            148 1519260653809158 04/23     933 
            149 7615198282210766 04/23     386 
            150 8174773229448718 04/23     908 
            151 9076554872266726 04/23     613 
            152 3607414867834830 04/23     614 
            153 4863152976992713 04/23     941 
            154 6531612777271646 04/23     602 
            155 6547426136265084 04/23     102 
            156 1290890336133922 04/23     269 
            157 6659507957092342 04/23     798 
            158 4280553439060176 04/23     326 
            159 3594896680604403 04/23     157 
            160 4508840337239730 04/23     963 
            161 1589443430242750 04/23     145 
            162 5490822626055837 04/23     847 
            163 3670467344769541 04/23     240 
            164 5956224348690249 04/23     468 
            165 7352146795855159 04/23     123 
            166 2771718487078698 04/23     484 
            167 2208061412415130 04/23     824 
            168 5515596074088380 04/23     882 
            169 5762951755325560 04/23     189 
            170 2245756939068151 04/23     483 
            171 8834515635121864 04/23     410 
            172 2758243258865239 04/23     165 
            173 2189799798219659 04/23     568 
            174 3724568247857027 04/23     802 
            175 1547937757938243 04/23     502 
            176 8981396379941619 04/23     819 
            177 4322014628526424 04/23     366 
            178 7578968449665625 04/23     274 
            179 7549997491674539 04/23     855 
            180 9845503476176618 04/23     221 
            181 9659984356877228 04/23     829 
            182 9883562210325638 04/23     774 
            183 8276946044201456 04/23     580 
            184 1527940571331942 04/23     242 
            185 8884169345242312 04/23     552 
            186 7107146130350448 04/23     242 
            187 4686745612528744 04/23     626 
            188 1298152526887260 04/23     277 
            189 6145716197060237 04/23     820 
            190 6517848309052343 04/23     421 
            191 6432646620271624 04/23     493 
            192 2898571660755359 04/23     167 
            193 3898566032228634 04/23     934 
            194 6597384633405769 04/23     874 
            195 6814143773292006 04/23     535 
            196 1047558587329829 04/23     541 
            197 9197054603707978 04/23     212 
            198 2594315180686719 04/23     710 
            199 8913298941267040 04/23     328 
            200 3078736791834334 04/23     107 
            201 1219073149440867 04/23     982 
            202 9462550780533044 04/23     522 
            203 1295184587153860 04/23     927 
            204 9983884940915928 04/23     945 
            205 1880986729417423 04/23     409 
            206 5965427319744053 04/23     397 
            207 3501259945156951 04/23     274 
            208 2889461197229459 04/23     355 
            209 7654018201094669 04/23     647 
            210 6513546452769886 04/23     508 
            211 1167585960487302 04/23     157 
            212 6845395824620695 04/23     807 
            213 6655629527522118 04/23     869 
            214 8540873995049591 04/23     359 
            215 8553267426302151 04/23     337 
            216 2853212371924383 04/23     635 
            217 8047105252120342 04/23     597 
            218 8453088473174772 04/23     672 
            219 4217169635460751 04/23     288 
            220 1141892249968248 04/23     477 
            221 3447503695462294 04/23     256 
            222 2740703016035835 04/23     930 
            223 7105174687196978 04/23     293 
            224 7981486501308655 04/23     684 
            225 7610265993125200 04/23     809 
            226 2202551496816787 04/23     907 
            227 3861682988858953 04/23     891 
            228 8155193092412265 04/23     686 
            229 8533175689244645 04/23     799 
            230 7834727924262774 04/23     883 
            231 2656438225550475 04/23     283 
            232 5832520172087767 04/23     891 
            233 9077215848303358 04/23     441 
            234 9710475319371648 04/23     671 
            235 4626531738603266 04/23     302 
            236 7338103150751923 04/23     110 
            237 8043758796881233 04/23     824 
            238 4406493535942422 04/23     726 
            239 3512518943221061 04/23     482 
            240 4932296753752941 04/23     426 
            241 6809322944493775 04/23     973 
            242 2680929455550131 04/23     241 
            243 2301021935176625 04/23     100 
            244 3239492023464090 04/23     657 
            245 3983823865168026 04/23     628 
            246 5576283220881497 04/23     586 
            247 4719553914511599 04/23     596 
            248 3707644743183826 04/23     252 
            249 5981327746068651 04/23     244 
            250 6033833299066661 04/23     173 
            251 4968373231756996 04/23     531 
            252 6952594701359613 04/23     564 
            253 6362111102262330 04/23     560 
            254 6353645549438625 04/23     636 
            255 3751014942384382 04/23     308 
            256 1140598197610305 04/23     533 
            257 7746850267449016 04/23     950 
            258 1263402428617119 04/23     395 
            259 2845502777176961 04/23     806 
            260 5508372922902757 04/23     305 
            261 9706332190356376 04/23     528 
            262 2592037441628931 04/23     833 
            263 8005765869253723 04/23     104 
            264 2626241440322619 04/23     402 
            265 9705427804213208 04/23     943 
            266 8004467073484526 04/23     747 
            267 9146471977989932 04/23     188 
            268 8919920310653755 04/23     316 
            269 5352470524625590 04/23     802 
            270 7789152347241120 04/23     504 
            271 3095895310501857 04/23     337 
            272 1922779575103413 04/23     172 
            273 5803473777250454 04/23     583 
            274 8831068021738328 04/23     655 
            275 4046424617607873 04/23     820 
            276 4585759257237039 04/23     568 
            277 6737936875660634 04/23     761 
            278 9077792078915112 04/23     297 
            279 5365337545996331 04/23     857 
            280 8679111332956322 04/23     606 
            281 5049371867768295 04/23     435 
            282 3855094107058073 04/23     289 
            283 3972381301277763 04/23     905 
            284 7513932680494529 04/23     309 
            285 7550232384801663 04/23     804 
            286 8009497038288108 04/23     493 
            287 1452102416626254 04/23     642 
            288 3791713846088429 04/23     550 
            289 1126444189751766 04/23     142 
            290 4911142344803428 04/23     205 
            291 8261765560022334 04/23     620 
            292 8712746479374915 04/23     643 
            293 7066197575704678 04/23     707 
            294 9455031275988780 04/23     450 
            295 9463727596794788 04/23     759 
            296 8238972953231647 04/23     939 
            297 2392687627911911 04/23     164 
            298 6949523797935323 04/23     606 
            299 2440608729338458 04/23     842 
            300 3829994924691651 04/23     335 
            301 3892240425356858 04/23     683 
            302 1506454779367380 04/23     449 
            303 4647170164092755 04/23     737 
            304 1197465904031861 04/23     685 
            305 8048976204062853 04/23     398 
            306 4026329587872319 04/23     362 
            307 4790836839241892 04/23     738 
            308 2510903586349385 04/23     211 
            309 1440371775322794 04/23     330 
            310 6409296444360581 04/23     343 
            311 6659550151874140 04/23     574 
            312 2501163184468495 04/23     893 
            313 8696801230157435 04/23     495 
            314 1009674699458440 04/23     289 
            315 4867864753604114 04/23     661 
            316 7863512129658950 04/23     401 
            317 7263670523393699 04/23     541 
            318 5550717521095726 04/23     290 
            319 3589473800885129 04/23     890 
            320 3307745745286246 04/23     511 
            321 1071193576118183 04/23     347 
            322 7138912630004933 04/23     425 
            323 4990889455941318 04/23     974 
            324 1517411835866862 04/23     283 
            325 3954371837346049 04/23     335 
            326 8504385509852174 04/23     809 
            327 4189617889324122 04/23     532 
            328 2296626174765694 04/23     258 
            329 1799585896249872 04/23     151 
            330 6391238180198842 04/23     850 
            331 3999181874105551 04/23     805 
            332 9883065680521026 04/23     530 
            333 8406531547889350 04/23     856 
            334 5536038830133758 04/23     737 
            335 6302070195738016 04/23     481 
            336 6230743223240508 04/23     151 
            337 5791486246907953 04/23     354 
            338 6690673334109237 04/23     164 
            339 5502782173307212 04/23     301 
            340 1775979415948281 04/23     264 
            341 7317841078519339 04/23     850 
            342 9992870027177312 04/23     804 
            343 1952866879940228 04/23     915 
            344 5607726270622920 04/23     805 
            345 5933726602996629 04/23     194 
            346 1423970641811961 04/23     658 
            347 6971190417097589 04/23     318 
            348 9427820507224086 04/23     846 
            349 2058407972829145 04/23     267 
            350 1634875076163706 04/23     129 
            351 4568525871216667 04/23     674 
            352 3344624754675683 04/23     873 
            353 5907029316661421 04/23     519 
            354 8750598489028059 04/23     868 
            355 7349733129495504 04/23     307 
            356 4240214723017781 04/23     810 
            357 9030189688136436 04/23     637 
            358 6572517560625106 04/23     494 
            359 7221116338115458 04/23     548 
            360 3375903147100126 04/23     433 
            361 9519002810262616 04/23     595 
            362 3968966315117704 04/23     327 
            363 7009460757442907 04/23     565 
            364 8989290475448511 04/23     684 
            365 5223160534504208 04/23     731 
            366 1943399259494796 04/23     906 
            367 8766730079442729 04/23     411 
            368 1397031151757489 04/23     322 
            369 3709119053272028 04/23     873 
            370 6749882705559572 04/23     829 
            371 2232743895138623 04/23     883 
            372 6180683394412785 04/23     495 
            373 7326063908670725 04/23     698 
            374 1540704429036462 04/23     418 
            375 7681603376951222 04/23     280 
            376 2817983274893515 04/23     157 
            377 7634960932084413 04/23     459 
            378 3566220264514943 04/23     157 
            379 2406718789571968 04/23     233 
            380 5595752303991102 04/23     113 
            381 2520607254234357 04/23     968 
            382 7763708107155215 04/23     611 
            383 6193209761337942 04/23     463 
            384 1342297369949974 04/23     273 
            385 5127576723581530 04/23     331 
            386 3254648763481514 04/23     844 
            387 4338732944784650 04/23     854 
            388 8304174442019046 04/23     683 
            389 2956497674382789 04/23     450 
            390 6465567368048656 04/23     468 
            391 7462287384788810 04/23     180 
            392 7427305002828861 04/23     285 
            393 1929389801554354 04/23     450 
            394 9649294673183454 04/23     117 
            395 5454519400748162 04/23     598 
            396 3355060246346392 04/23     522 
            397 8437466264728230 04/23     450 
            398 4419063218373968 04/23     741 
            399 3485186868415973 04/23     651 
            400 6703225032541530 04/23     245 
            401 9318888468621748 04/23     379 
            402 2646166988467132 04/23     201 
            403 1360310195837126 04/23     112 
            404 7422477502025104 04/23     958 
            405 8113512135435576 04/23     902 
            406 5269050763053705 04/23     886 
            407 3141188980466225 04/23     302 
            408 2988311317754253 04/23     344 
            409 4203617272532596 04/23     740 
            410 6289912077952932 04/23     164 
            411 9630029330523862 04/23     369 
            412 6969035048914850 04/23     356 
            413 6835991078899468 04/23     666 
            414 5879813889730649 04/23     681 
            415 5079567305875672 04/23     500 
            416 8298707351185599 04/23     227 
            417 7305023936672142 04/23     810 
            418 5711400456130004 04/23     781 
            419 1929431467254592 04/23     484 
            420 2449580073055826 04/23     903 
            421 3541407156573340 04/23     491 
            422 9042455043375476 04/23     758 
            423 8015840762568556 04/23     533 
            424 7679723363295097 04/23     263 
            425 1926593593053460 04/23     969 
            426 8073682818562671 04/23     311 
            427 9220338380659128 04/23     366 
            428 5018683620562019 04/23     614 
            429 9469065174373460 04/23     751 
            430 7844256134936498 04/23     543 
            431 5129557191473141 04/23     571 
            432 1866844749471743 04/23     541 
            433 7143521989079390 04/23     997 
            434 6691603754986716 04/23     406 
            435 6872839811673932 04/23     443 
            436 2492898992778644 04/23     673 
            437 2331348216575833 04/23     532 
